"id","activityid","name","name_eng"
"1","2","Brunch","Brunch"
"2","2","Frühstück","Breakfast"
"3","2","Mittagessen","Dinner"
"4","2","Abendessen","Supper"
"5","2","Imbiss","Snack"
"6","2","Kaffeepause","Coffee pause"
"7","2","etwas anderes","something else"
"8","4","Straßenbahn","Tram"
"9","4","Bus","Bus"
"10","4","Auto","Auto"
"11","4","Zug","Zug"
"12","4","Motorrad","Motorcycle"
"13","4","Skateboard","Skateboard"
"14","4","Fahrrad","Bicycle"
"15","4","Roller","Roller"
"16","4","etwas anderes","something else"
"17","5","Spielen","Gaming"
"18","5","Fernsehen","Watch TV"
"19","5","Musik hören","Listen to music"
"20","5","etwas anderes","something else"
"21","6","Rollstuhl","Wheelchair"
"22","6","Rollator","Rollator"
"23","6","Krücke","Crutch"
"24","6","etwas anderes","something else"
"25","9","Sauber machen","Cleaning up"
"26","9","Aufräumen","Tiding up"
"27","9","etwas anderes","something else"
"28","11","Zuhause","At home"
"29","11","Bar ⁄ Diskothek","Bar ⁄ Diskothek"
"30","11","Kino","Cinema"
"31","11","Park ⁄ Draußen","Park ⁄ Outside"
"32","11","etwas anderes","something else"
"33","12","Spazieren gehen","Walking"
"34","12","zur Arbeit gehen","Go to work"
"35","12","zur Universität gehen","Go to university"
"36","12","nachhause gehen","Go home"
"37","12","etwas anderes","something else"
"38","14","Fußball","Soccer"
"39","14","Basketball","Basketball"
"40","14","Fitnessstudio","Fitnessstudio"
"41","14","Gymnastik","Gymnastik"
"42","14","Tanzen","Dansing"
"43","14","Eishockey","Ice Hockey"
"44","14","Joggen","Running"
"45","14","Fahrrad fahren","Cycling"
"46","14","etwas anderes","something else"
